Hub_Name,Hub_Type,Location,State_Region,Geographical_Zone,Area_In_Acres,Target_Capacity_TEU_Annum,Capacity_Utilization_Pct,Utilized_Volume_TEU_Annual,Investment_Cost_Crores,Development_Phase,Connectivity_Modes,Connectivity_Matrix,Rail_Physical_Destinations,Road_Physical_Destinations,Port_Physical_Destinations,Airport_Physical_Destinations,Outbound_Rail_Pct,Outbound_Road_Pct,Outbound_Port_Pct,Outbound_Airport_Pct,Heavy_Machinery_Fleet,Catchment_Score,Avg_Freight_Speed_KmH,Real_Anchor_Industries,Industry_Driving_Distance_KM,Pipeline_Tracker,Regulatory_Layer,Transaction_Proxies_Bilty,Data_Source_Verification_Link,Source_Authentication,Verification_Status
Rajkot Multi-Modal Logistics Park,Multi-Modal Logistics Park,Rajkot,Gujarat,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://nhlml.org/multi-modal-logistics-park ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Multi-Modal Logistics Hub (MMLH) Dadri,Multi-Modal Logistics Hub (MMLH),Dadri,Uttar Pradesh,Central,768.481,740000.0,0,0,5881.0,Under development,"Rail, Road, Air, Port (dry port)","Intersection of Eastern Dedicated Freight Corridor (DFC) and Western DFC; ~15–20 km from Noida International Airport (Jewar); direct connectivity to Eastern Peripheral Expressway, NH-91, Yamuna Expressway; part of DMIC framework; integrated within PM Gati Shakti national master plan; inland extension of maritime gateways JNPT and Mundra; bulk freight capacity 6.7 million tonnes per year; warehousing 3 million sq. ft.; cold storage 0.3 million sq. ft.; expected 40–50% reduction in container dwell time; integrates with adjacent Integrated Industrial Township and Multi-Modal Transport Hub (MMTH) near Boraki","Eastern Dedicated Freight Corridor (DFC), Western Dedicated Freight Corridor (DFC)","Eastern Peripheral Expressway, NH-91, Yamuna Expressway","JNPT, Mundra","Noida International Airport (Jewar), ~15–20 km",0,0,0,0,0,0,0,"Semiconductor fabrication units, mobile phone assembly plants, electronics manufacturing clusters, defence manufacturing corridors, precision electronics, mobile devices, aerospace components, pharmaceuticals, auto OEMs, renewable energy manufacturers",0,Early Bird Project under DMIC with prioritization in infrastructure sequencing; Phase 1 project snapshot; combined MMLH–MMTH ecosystem projected ~1 lakh direct and indirect jobs by 2040,"Implemented as Early Bird Project under Delhi–Mumbai Industrial Corridor (DMIC); overseen by National Industrial Corridor Development and Implementation Trust (NICDIT); NICDIT Union Budget 2026–27 allocation ₹3,000 crore; integrated within PM Gati Shakti national master plan; PPP framework; Single Window customs clearance; digitally integrated cargo visibility platforms aligned with PM Gati Shakti data layers","Expected 40–50% reduction in container dwell time through consolidated freight handling, customs clearance, and multimodal transfers within a single ecosystem",https://apacedigitalcargo.com/india-to-have-the-largest-multi-modal-logistics-hub-in-dadri-greater-noida/ ; https://invest.up.gov.in/multi-modal-logistics-parks/ ; https://timesofindia.indiatimes.com/city/noida/adani-ports-among-3-cos-vying-for-land-to-build-logistics-park/articleshow/122394857.cms ; https://www.constructionworld.in/urban-infrastructure/warehouse-and-logistics/dadri-station-linked-to-logistics-hub-via-3km-rail-track/41808 ; https://www.ibluu.com/insights/the-greenfield-multi-modal-logistics-hub-mmlh-bodaki-dadri-greater-noida-the-making-of-indias-most-strategic-inland-cargo-and-export-gateway/ ; https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Government (invest.up.gov.in),Verified
Multi-Modal Logistics Hub (MMLH) Greater Noida,Multi-Modal Logistics Hub (MMLH),Greater Noida,Uttar Pradesh,Central,768.481,740000.0,0,0,5881.0,Under development,"rail, road","Strategically located near the Eastern Peripheral Expressway, NH 91, Noida-Greater Noida Expressway, Yamuna Expressway, and both the Eastern and Western Dedicated Freight Corridors; designed to handle efficient storage and transfer of goods to and from the Dedicated Freight Corridors with value-added services such as container handling, packaging, and cargo optimization","Eastern Dedicated Freight Corridor, Western Dedicated Freight Corridor","Eastern Peripheral Expressway, NH 91, Noida-Greater Noida Expressway, Yamuna Expressway",null,"Noida International Airport, Jewar",0,0,0,0,0,0,0,"Manufacturing, warehousing, cold-chain industries; manufacturing and export zones in Noida and Greater Noida",0,Under development; 84% of the land is in possession of the state government while remaining parcels are being acquired swiftly; connectivity approved in principle by the Dedicated Freight Corridor Corporation of India Limited (DFCCIL); together with MMTH expected to generate around 1 lakh jobs by 2040,Implementation agency: Special Purpose Vehicle (SPV) of Integrated Industrial Township – Greater Noida; connectivity approved in principle by Dedicated Freight Corridor Corporation of India Limited (DFCCIL),null,https://invest.up.gov.in/multi-modal-logistics-parks/ ; https://the420.in/greater-noida-multi-modal-logistics-hub-dmic-freight-corridor/ ; https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Government (invest.up.gov.in),Verified
Multi-Modal Transport Hub (MMTH) Boraki,Multi-Modal Transport Hub (MMTH),Boraki,Uttar Pradesh,Central,0,0,0,0,0,Under development,"rail, road, mass rapid transit","Near Boraki Railway Station; strategically located near the Eastern Peripheral Expressway, NH 91, Noida-Greater Noida Expressway, Yamuna Expressway, and both the Eastern and Western Dedicated Freight Corridors; designed as a seamless passenger transport hub with Inter-State Bus Terminal (ISBT), Local Bus Terminal (LBT), metro connectivity, commercial and retail spaces, hotel facilities, and green open spaces","Boraki Railway Station, Eastern Dedicated Freight Corridor, Western Dedicated Freight Corridor","Eastern Peripheral Expressway, NH 91, Noida-Greater Noida Expressway, Yamuna Expressway",null,null,0,0,0,0,0,0,0,"Electronics clusters, semiconductor value-chain suppliers, mobile handset manufacturers, defence corridor units, renewable energy manufacturers, auto OEMs",0,Under development; 84% of the land is in possession of the state government while remaining parcels are being acquired swiftly; together with MMLH expected to generate around 1 lakh jobs by 2040; designed to help decongest Delhi,Implementation agency: Special Purpose Vehicle (SPV) of Integrated Industrial Township – Greater Noida,null,https://invest.up.gov.in/multi-modal-logistics-parks/ ; https://www.constructionworld.in/urban-infrastructure/warehouse-and-logistics/dadri-station-linked-to-logistics-hub-via-3km-rail-track/41808 ; https://www.ibluu.com/insights/the-greenfield-multi-modal-logistics-hub-mmlh-bodaki-dadri-greater-noida-the-making-of-indias-most-strategic-inland-cargo-and-export-gateway/,Government (invest.up.gov.in),Verified
"Integrated Multi Modal Logistics Hub (IMLH), Nangal Chaudhary",Integrated Multi-Modal Logistics Hub (IMLH),"Nangal Chaudhary, Mahendragarh district",Haryana,North,886.0,0,0,0,1029.0,Nearing completion,"Road, Rail, Air","Strategically positioned along the Western Dedicated Freight Corridor and NH-11. Road: National Highway-148B (Kotputli-Bhatinda) 20 km; National Highway-11 (Jaisalmer-Rewari) 12 km. Rail: Nizampur Railway Station 1.6 km; Western Dedicated Freight Corridor adjacent; New Dabla DFC Station 12 km. Air: Delhi International Airport 140 km; Jaipur International Airport 167 km. Offers warehousing, freight consolidation, customs clearance, cold storage, and multimodal transfer facilities. Key components include Railway Connectivity zone, Container Stacking, Warehouse, and Transport Zone.",Western Dedicated Freight Corridor (Adjacent); Nizampur Railway Station (1.6 km); New Dabla DFC Station (12 km),National Highway-148B (Kotputli-Bhatinda) (20 km); National Highway-11 (Jaisalmer-Rewari) (12 km),null,Delhi International Airport (140 km); Jaipur International Airport (167 km),0,0,0,0,0,0,0,"Industries in Delhi-NCR, Rajasthan, Haryana and other parts of North India; expected to attract fresh industrial investment and strengthen manufacturing activity across the region",0,"Being developed under DMIC as part of 4 Projects Nearing Completion. To be developed on PPP mode. Designed as India's largest logistics hub and largest logistics hub south of NCR to serve Haryana and the northern hinterland. Project overview lists employment of 10,000 jobs and investment of 47,480 crore.",Developed under DMIC; to be developed on PPP mode,null,https://cargoconnect.co.in/topic/integrated-multi-modal-logistics-hub-imlh ; https://nicdc.in/projects/4-projects-nearing-completion/integrated-multi-modal-logistics-hub-nangal-chaudhary,Operator (nicdc.in),Verified
Coimbatore Multi-Modal Logistics Park,Multi-Modal Logistics Park,Coimbatore,Tamil Nadu,South,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Jammu Multi-Modal Logistics Park,Multi-Modal Logistics Park,Jammu,Jammu and Kashmir,North,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755 ; https://www.pathlogicity.com/blog/multi-modal-logistics-park/,Government (pib.gov.in),Verified
Moinarband Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Moinarband,Assam,North-East,0,0,0,0,0,Commissioned and operational,"Rail, road, waterways","Developed under North East Frontier Railway (NFR); integrated rail, road, and waterways transport under PM Gati Shakti National Master Plan",null,null,null,null,0,0,0,0,0,0,0,"Coal, containers, food grains, fertilizers, cement, petroleum products, automobiles, general cargo; petroleum and oil movement, particularly Indian Oil (IOMB) products",0,null,"GCT Policy, 2021 of the Ministry of Railways; developed under North East Frontier Railway (NFR)",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Cinnamara Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Cinnamara,Assam,North-East,0,0,0,0,0,Commissioned and operational,"Rail, road, waterways","Developed under North East Frontier Railway (NFR); Food Corporation of India (FCI) siding; integrated rail, road, and waterways transport under PM Gati Shakti National Master Plan",null,null,null,null,0,0,0,0,0,0,0,"Coal, containers, food grains, fertilizers, cement, petroleum products, automobiles, general cargo; food grains and fertilizers through FCI siding",0,null,"GCT Policy, 2021 of the Ministry of Railways; developed under North East Frontier Railway (NFR)",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Baihata Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Baihata,Assam,North-East,0,0,0,0,0,"Under construction, nearing completion","Rail, road, waterways",One of six new cargo terminals under construction across Assam; to deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,null,null,null,null,0,0,0,0,0,0,0,null,0,Under construction across Assam; nearing completion,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Habaipur Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Habaipur,Assam,North-East,0,0,0,0,0,Upcoming; under construction,"Rail, road, waterways",Upcoming facility among six new cargo terminals under construction across Assam; to expand Assam logistics network and deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,null,null,null,null,0,0,0,0,0,0,0,null,0,Upcoming facility at Habaipur among six new cargo terminals under construction across Assam,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Kendukona Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Kendukona,Assam,North-East,0,0,0,0,0,Upcoming; under construction,"Rail, road, waterways",Upcoming facility among six new cargo terminals under construction across Assam; to expand Assam logistics network and deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,null,null,null,null,0,0,0,0,0,0,0,null,0,Upcoming facility at Kendukona among six new cargo terminals under construction across Assam,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Basugaon Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Basugaon,Assam,North-East,0,0,0,0,0,Upcoming; under construction,"Rail, road, waterways",Upcoming facility among six new cargo terminals under construction across Assam; to expand Assam logistics network and deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,null,null,null,null,0,0,0,0,0,0,0,null,0,Upcoming facility at Basugaon among six new cargo terminals under construction across Assam,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Chayagaon Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Chayagaon,Assam,North-East,0,0,0,0,0,Upcoming; under construction,"Rail, road, waterways",Upcoming facility among six new cargo terminals under construction across Assam; to expand Assam logistics network and deepen multimodal connectivity across the Northeast under PM Gati Shakti National Master Plan,null,null,null,null,0,0,0,0,0,0,0,null,0,Upcoming facility at Chayagaon among six new cargo terminals under construction across Assam,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Manesar Gati Shakti Multi-Modal Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),Manesar,Haryana,North,46.0,0,0,0,800.0,Commissioned and operational; country's largest automobile Gati Shakti Multi-Modal Cargo Terminal,Rail,"Located at Maruti Suzuki India Limited Manesar plant; fully electrified corridor with four full-length rake handling lines and one engine escape line; total track length 8.2 km; connected to Patli railway station through 10 km dedicated rail link, part of Haryana Orbital Rail Corridor built at cost of Rs 800 crore with Rs 684 crore funded by Haryana Rail Infrastructure Development Corporation (HRIDC) and rest by Maruti Suzuki; engine-on-load operations",Patli railway station; Haryana Orbital Rail Corridor,null,null,null,0,0,0,0,0,0,0,Automobiles; Maruti Suzuki India Limited Manesar plant; capable of handling 450000 automobiles annually,10.0,null,"GCT Policy, 2021 of the Ministry of Railways",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
New Sanjali Gati Shakti Cargo Terminal,Gati Shakti Multi-Modal Cargo Terminal (GCT),New Sanjali,Gujarat,West,0,0,0,0,0,Commissioned; first facility built on private land under Gati Shakti Policy,Rail,"First facility built on private land under Gati Shakti Policy along Western Dedicated Freight Corridor; designed as strategic freight hub for high-speed, high-capacity cargo movement and multimodal integration",Western Dedicated Freight Corridor,null,null,null,0,0,0,0,0,0,0,null,0,null,"GCT Policy, 2021 of the Ministry of Railways; first facility built on private land under Gati Shakti Policy",null,https://pib.gov.in/PressNoteDetails.aspx?NoteId=156923&ModuleId=3&reg=3&lang=1,Government (pib.gov.in),Verified
Vijayawada Multi-Modal Logistics Park,Multi-Modal Logistics Park,Vijayawada,Andhra Pradesh,South,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Amongst 35 MMLPs approved for development; Pre-Feasibility Report ongoing; capacity and investment would be known after the outcome of studies; All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Raipur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Raipur,Chhattisgarh,Central,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Kandla Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kandla,Gujarat,West,0,0,0,0,0,At various stages of feasibility studies,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,All other 30 MMLPs are at various stages of feasibility studies,Union Minister for Road Transport and Highways reply in Rajya Sabha; Ministry of Road Transport & Highways,null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://pib.gov.in/PressReleasePage.aspx?PRID=1911755,Government (pib.gov.in),Verified
Pipavav Logistics Hub,Logistics Hub,Pipavav,Gujarat,North,1561.672,1350000.0,0,0,0,Phase-1 opened,Rail,"Rail Transportation: EXIM and Domestic; Gateway port (Mundra, Pipapav, JNPT and Ennore) for transportation of container cargo to logistics parks",Indian rail network through the Dedicated Freight Corridor,evolving road network in Gujarat and the northern hinterland,Pipapav,null,0,0,0,0,0,0,0,Seafood and refrigerated processed food; cotton; wood pulp; sesame seeds; cattle feeds; agricultural products; ceramic tiles; soda ash; auto parts; spices; capital goods; scrap; water paper; electronics; coal; cement; clinker; fertilisers; steel; iron ore; agri-products; salt; petroleum products; chemicals; vegetable oils; bitumen; LPG; automobiles,0,"Phase-1 opened by Port of Pipavav, APM Terminals Pipavav in partnership with Contrans Logistic","Authorized Economic Operator (AEO) Status from World Customs Organisation; customs clearance for Direct Port Delivery [DPD]; customs notified area for machinery repairs on laden reefer containers; drive-through X-Ray Based Container Scanner and Radiation Portal Monitor; EDI connectivity, APIs, e-Form 13, Vessel Traffic Management System (VTMS)","RoRo yard handles 250,000 vehicles annually; stock yard for around 6,000 cars; mobilization yard of 600 cars with capacity to accommodate approximately 1,200 cars on the quay; capacity to handle 4 MMT of bulk cargos; capacity to handle 2 MMT of liquid cargoes per annum; 450,000 KL operational tankage capacity; fertilizer bagging capacity 9000 MT/day; covered warehouses 65000 Sq Mtrs; environment friendly coal yard 100,000 sqm, 300,000 MT; coal and mineral static capacity 700,000 MT; fertilizer static capacity 130,000 MT; more than 500 reefer connections; dedicated reefer lane at gate with trailer TAT of less than 1 hour",https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://www.adaniports.com/logistics ; https://www.apmterminals.com/en/pipavav/about/our-terminal ; https://www.itln.in/logistics/apm-terminals-pipavav-contrans-develop-multi-modal-park-1347937 ; https://www.logisticsinsider.in/cma-cgm-groups-new-inland-depot-facility-in-mundra-expected-to-handle-approximately-155000-teus-annually/,Operator (www.adaniports.com),Verified
Surat Multi-Modal Logistics Park,Multi-Modal Logistics Park,Surat,Gujarat,West,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India,Other (en.wikipedia.org),Verified
Kochi Multi-Modal Logistics Park,Multi-Modal Logistics Park,Kochi,Kerala,South,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India,Other (en.wikipedia.org),Verified
Sangrur Multi-Modal Logistics Park,Multi-Modal Logistics Park,Sangrur,Punjab,North,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/ ; https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India,Other (en.wikipedia.org),Verified
Sangli Multi-Modal Logistics Park,Multi-Modal Logistics Park,Sangli,Maharashtra,West,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India ; https://grokipedia.com/page/jalna_dry_port,Other (en.wikipedia.org),Verified
Salgare Multi-Modal Logistics Park,Multi-Modal Logistics Park,Salgare,Maharashtra,West,0,0,0,0,0,pre-planning; DPR yet to be prepared,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,"Identified among 35 MMLPs; tender to be invited based on DPR, feasibility study and approved bidding document; Model Concession Agreement and Request for Proposal being finalised","MoRTH planned development under Public-Private Partnership (PPP) in Design, Build, Finance, Operate and Transfer (DBFOT) mode; state government to provide land",null,https://en.wikipedia.org/wiki/Multi-Modal_Logistics_Parks_in_India,Other (en.wikipedia.org),Verified
"Integrated Multi Modal Logistics Hub (Freight Village), Nangal Chaudhary, Narnaul",Integrated Multi Modal Logistics Hub,"Nangal Chaudhary, Narnaul",Haryana,North,886.78,0,0,0,4000.0,Being developed in PPP mode,null,Potential to reduce goods movement time from 14 days to 14 hrs.,null,null,null,null,0,0,0,0,0,0,0,null,0,Biltrax Construction Data is tracking the 38 Million-SqFt Integrated Multi Modal Logistics Hub Project on their technology platform for their clients.,"Implemented as 50:50 joint venture between HSIIDC and DMICDC/DMIC Trust – DMIC Haryana Multi Modal Logistic Hub Project Limited. Developed under Haryana Logistics, Warehousing & Retail Policy – 2019.",null,https://www.biltraxmedia.com/integrated-multi-modal-logistics-hub-haryana/,Other (www.biltraxmedia.com),Verified
Multi Modal Logistics Hub at Dadri in Greater Noida,Multi Modal Logistics Hub,"Dadri, Greater Noida",Uttar Pradesh,North,825.314,1440000.0,0,0,5942.0,"To be built in three phases; PPPAC clearance on May 2, 2025; expected Union Cabinet clearance shortly; 45-year concession period including two-year construction period","Rail, Road, Air","Strategically located at the junction of the Eastern and Western Dedicated Freight Corridors; linked directly to NH34, the Eastern Peripheral Expressway and Jewar International Airport; rail authority to develop rail siding for uninterrupted high-capacity connectivity; Delhi-Mumbai Industrial Corridor to construct 17 internal tracks and associated systems such as signalling; rail and road connectivity to be completed a month before the date of commercial operations; integrated dry port facility for storage and transhipment of goods to and from the Uttar Pradesh segment of the National Capital Region","Eastern Dedicated Freight Corridor, Western Dedicated Freight Corridor, Delhi-Mumbai Industrial Corridor","NH34, Eastern Peripheral Expressway",null,Jewar International Airport,0,0,0,0,0,0,0,null,0,"NICDC won backing from PPPAC led by Ajay Seth, Finance and Economic Affairs Secretary, Ministry of Finance, on May 2, 2025; project expected to be cleared by the Union Cabinet shortly; to be awarded to private firm quoting highest Minimum Guaranteed Revenue share to NICDC via global tender; Greater Noida Industrial Development Authority has acquired more than 90 per cent of the land; project implementing authority to fund land acquisition, land levelling for rail yard, external connectivity and power connectivity estimated at Rs 2,337 crore; authority assured bidders it will not develop a competing facility within 100 km radius until ten years from the date of commercial operations","Public-Private-Partnership Appraisal Committee clearance on May 2, 2025; concession period of 45 years including construction period of two years; lock-in period for project promoter's equity set at two years; period for evaluating technical capacity of bidders kept at 10 years; sub licensing limited to warehousing and commercial activities or about 19 per cent of revenue stream only; no competing facility within 100 km radius for ten years from commercial operations appointed date","Project awarded on basis of highest Minimum Guaranteed Revenue share to NICDC; if actual gross revenue in any year exceeds projected MGR, private operator pays agreed revenue share percentage on surplus; if revenue falls short, private firm pays full MGR guaranteeing floor revenue to authority; gross revenue refers to amount remitted to concessionaire by sub licensee; cost of constructing the hub at Rs 5,942 crore borne by private operator; facility to handle 7.8 million tonnes of non-containerised cargo, 3 million sq ft of warehousing and 0.3 million sq ft of cold storage",https://infra.economictimes.indiatimes.com/news/logistics/govt-panel-clears-5942-crore-multi-modal-logistics-hub-at-dadri-in-greater-noida/121181584,News (infra.economictimes.indiatimes.com),Verified
Bidkin Multi-Modal Logistics Park,Multi-Modal Logistics Park,Bidkin,Maharashtra,West,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
Bikaner Multi-Modal Logistics Park,Multi-Modal Logistics Park,Bikaner,Rajasthan,North,0,0,0,0,0,Planned,null,null,null,null,null,null,0,0,0,0,0,0,0,null,0,Identified under phase 1 and phase 2; bidding documents (Model Concession Agreement and Request for Proposal) currently being finalised,"Steered by the Ministry of Road Transport & Highways under PM Gati Shakti Yojana. Most multi-modal logistics parks will be built through private-public partnerships (PPP) on Design, Build, Finance, Operate, and Transfer (DBFOT) model. Tripartite agreement signed under the Bharatmala Pariyojna involving the Inland Waterways Authority of India (IWAI), National Highways Logistics Management Limited (NHLML), and Rail Vikas Nigam Limited. Initiative supported by Sagarmala, Bharatmala, UDAN, development of economic zones and corridors.",null,https://blog.tatanexarc.com/logistics/mmlp-in-india/ ; https://byjus.com/current-affairs/multimodal-logistics-park-mmlp/,Other (blog.tatanexarc.com),Verified
